medium_id	original	mapped	chebi_label	chebi_formula	value	concentration	unit	mmol_l	optional	source	normalized_compound	hydration_number	chebi_match	chebi_id	chebi_original_name	similarity_score	match_confidence	matching_method	mapping_status	mapping_quality	base_compound	base_formula	water_molecules	hydrate_formula	base_chebi_id	base_chebi_label	base_chebi_formula	hydration_state	hydration_parsing_method	hydration_confidence	base_compound_for_mapping	base_molecular_weight	water_molecular_weight	hydrated_molecular_weight	corrected_mmol_l	hydrated_chebi_id	hydrated_chebi_label	hydrate_mapping_source
ccap_BB_MErds_composition	ZnSO4.7H2O	CHEBI:32312	zinc sulfate heptahydrate	7H2O.O4S.Zn	1.0		g			json		7							original_only	good	ZnSO4	ZnSO4		ZnSO4.7H2O	CHEBI:62984				hydrate_pattern	high		161.47	126.105	287.575	3.477354			no_match
ccap_BB_composition	Co(NO3)2.6H2O	CHEBI:86214	cobalt dinitrate hexahydrate	Co.6H2O.2NO3	1.0		g			json		6							original_only	good	Co(NO3)2	Co(NO3)2		Co(NO3)2.6H2O					hydrate_pattern	high		100.0	108.09	208.09	4.805613			no_match
ccap_BB_composition	CuSO4.5H2O	CHEBI:31440	copper(II) sulfate pentahydrate	Cu.5H2O.O4S	1.0		g			json		5							original_only	good	CuSO4	CuSO4		CuSO4.5H2O	CHEBI:23414				hydrate_pattern	very_high		159.61	90.075	249.685	4.005046			no_match
ccap_BB_composition	KOH	CHEBI:32035	potassium hydroxide	HO.K	1.0		g			json		0							original_only	good	KOH	KOH		KOH					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_BB_composition	MoO3	CHEBI:30627	molybdenum trioxide	MoO3	1.0		g			json		0							original_only	good	MoO3	MoO3		MoO3					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_BB_composition	ZnSO4.7H2O	CHEBI:32312	zinc sulfate heptahydrate	7H2O.O4S.Zn	1.0		g			json		7							original_only	good	ZnSO4	ZnSO4		ZnSO4.7H2O	CHEBI:62984				hydrate_pattern	high		161.47	126.105	287.575	3.477354			no_match
ccap_C_Modified_composition	Biotin in	CHEBI:57586	biotinate	C10H15N2O3S	100.0		m			json		0							original_only	good	Biotin in	Biotinin		Biotinin					no_hydration	high		100.0	0.0	100.0	1000.0			
ccap_C_Modified_composition	Cyanocobalamin in	CHEBI:17439	cyanocob(III)alamin	C63H88CoN14O14P	100.0		m			json		0							original_only	good	Cyanocobalamin in	Cyanocobalaminin		Cyanocobalaminin					no_hydration	high		100.0	0.0	100.0	1000.0			
ccap_C_Modified_composition	H2O	CHEBI:15377	water	H2O	97.0		mg			json		0							original_only	good	H2O	H2O		H2O					no_hydration	high		100.0	0.0	100.0	970.0			
ccap_C_Modified_composition	Vitamin B12  (8)	CHEBI:176843	vitamin B12		0.1		g			json		0							original_only	good	Vitamin B12  (8)	VitaminB12(8)		VitaminB12(8)					no_hydration	high		100.0	0.0	100.0	1.0			
